"Epic_ID","Epic_Title","Feature_ID","Feature_Title","Story_ID","Story_Title","Task_ID","Task_Title","Subtask_ID","Subtask_Title","Assigned_Agent","Priority","Estimated_Effort","Status","Dependencies","Acceptance_Criteria","Sprint","Reviewer","Review_Status","Completed_Date","Comments"
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0102","Supabase Auth Integration & RBAC Role Configuration","STORY-010201","As a candidate, I want to register and log in using Email/Password or Google OAuth so I can save my preferences.","TASK-01020102","Build Supabase Auth Client Wrappers (Browser, Server, Middleware)","SUB-0102010202","Create lib/supabase/server.ts (server client)","Frontend Engineer","P0","1 hour","READY","TASK-01020101","Server Component can query database with authenticated user context","Sprint 1","Code Reviewer","PENDING","","Server-side Supabase client using @supabase/ssr createServerClient with cookies() for RSC data fetching."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0102","Supabase Auth Integration & RBAC Role Configuration","STORY-010201","As a candidate, I want to register and log in using Email/Password or Google OAuth so I can save my preferences.","TASK-01020102","Build Supabase Auth Client Wrappers (Browser, Server, Middleware)","SUB-0102010203","Create lib/supabase/middleware.ts (session refresh)","Frontend Engineer","P0","1 hour","READY","TASK-01020101","Expired sessions are silently refreshed; users are not logged out unexpectedly","Sprint 1","Code Reviewer","PENDING","","Middleware utility that refreshes expired JWT tokens on every request to prevent session drops."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0102","Supabase Auth Integration & RBAC Role Configuration","STORY-010201","As a candidate, I want to register and log in using Email/Password or Google OAuth so I can save my preferences.","TASK-01020103","Build Auth UI Pages (Login, Register, Forgot Password, Callback)","SUB-0102010301","Create /auth/login page","Frontend Engineer","P0","2 hours","READY","TASK-01020102","Form validates, submits, and redirects to / on success","Sprint 1","Code Reviewer|Performance Reviewer","PENDING","","Login form with Email/Password fields and Google OAuth button. Zod validation on email format and password length."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0102","Supabase Auth Integration & RBAC Role Configuration","STORY-010201","As a candidate, I want to register and log in using Email/Password or Google OAuth so I can save my preferences.","TASK-01020103","Build Auth UI Pages (Login, Register, Forgot Password, Callback)","SUB-0102010302","Create /auth/register page","Frontend Engineer","P0","2 hours","READY","TASK-01020102","Form creates user in Supabase and shows email verification prompt","Sprint 1","Code Reviewer|Performance Reviewer","PENDING","","Registration form with name, email, password, confirm password fields. Zod schema enforces min 8-char password."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0102","Supabase Auth Integration & RBAC Role Configuration","STORY-010201","As a candidate, I want to register and log in using Email/Password or Google OAuth so I can save my preferences.","TASK-01020103","Build Auth UI Pages (Login, Register, Forgot Password, Callback)","SUB-0102010303","Create /auth/forgot-password page","Frontend Engineer","P1","1 hour","READY","TASK-01020102","Reset email sent and user can set new password","Sprint 1","Code Reviewer|Performance Reviewer","PENDING","","Email input form that triggers Supabase password reset email."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0102","Supabase Auth Integration & RBAC Role Configuration","STORY-010201","As a candidate, I want to register and log in using Email/Password or Google OAuth so I can save my preferences.","TASK-01020103","Build Auth UI Pages (Login, Register, Forgot Password, Callback)","SUB-0102010304","Create /auth/callback route handler","Frontend Engineer","P0","1 hour","READY","TASK-01020102","OAuth flow completes without errors; session cookie is set","Sprint 1","Code Reviewer|Performance Reviewer","PENDING","","API route that exchanges OAuth authorization code for session cookies and redirects to homepage."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0102","Supabase Auth Integration & RBAC Role Configuration","STORY-010202","As a system admin, I need JWT custom claims to carry role information for database RLS enforcement.","TASK-01020201","Create PL/pgSQL Function & Trigger for Default Role Assignment","SUB-0102020101","Write set_user_role PL/pgSQL function","Solution Architect","P0","1.5 hours","READY","TASK-01010201","Function executes without errors and updates metadata correctly","Sprint 1","Architecture Reviewer","PENDING","","Function that updates auth.users.raw_app_meta_data with a role key."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0102","Supabase Auth Integration & RBAC Role Configuration","STORY-010202","As a system admin, I need JWT custom claims to carry role information for database RLS enforcement.","TASK-01020201","Create PL/pgSQL Function & Trigger for Default Role Assignment","SUB-0102020102","Create auth.users INSERT trigger for default role","Solution Architect","P0","1 hour","READY","SUB-0102020101","New user signup results in JWT containing role = 'candidate'","Sprint 1","Architecture Reviewer","PENDING","","Trigger that automatically calls set_user_role on new user creation."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0102","Supabase Auth Integration & RBAC Role Configuration","STORY-010202","As a system admin, I need JWT custom claims to carry role information for database RLS enforcement.","TASK-01020202","Build Next.js Middleware for Role-Based Route Protection","SUB-0102020201","Create middleware.ts with route matchers and role checks","Frontend Engineer","P0","2.5 hours","READY","TASK-01020102|TASK-01020201","Middleware intercepts admin routes and validates JWT role claim","Sprint 1","Code Reviewer","PENDING","","Next.js middleware checking session and role claims with matcher config for /admin/* routes."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0102","Supabase Auth Integration & RBAC Role Configuration","STORY-010202","As a system admin, I need JWT custom claims to carry role information for database RLS enforcement.","TASK-01020202","Build Next.js Middleware for Role-Based Route Protection","SUB-0102020202","Implement returnTo redirect preservation","Frontend Engineer","P1","1 hour","READY","SUB-0102020201","After login, user is redirected to the original /admin/* page they tried to access","Sprint 1","Code Reviewer","PENDING","","Append returnTo query param to login redirect so users land on their intended page after auth."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0103","Next.js 15 Project Scaffolding & Vercel Deployment Pipeline","STORY-010301","As a developer, I need a CI/CD pipeline from GitHub to Vercel with automatic preview deployments.","TASK-01030101","Initialize Next.js 15 App Router Project","SUB-0103010101","Run npx create-next-app with App Router, TypeScript, Tailwind flags","DevOps Engineer","P0","30 minutes","READY","","Project directory created with app/ directory structure","Sprint 1","DevOps Reviewer|Security Reviewer","PENDING","","Initialize project using latest Next.js 15 scaffolding with non-interactive flags."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0103","Next.js 15 Project Scaffolding & Vercel Deployment Pipeline","STORY-010301","As a developer, I need a CI/CD pipeline from GitHub to Vercel with automatic preview deployments.","TASK-01030101","Initialize Next.js 15 App Router Project","SUB-0103010102","Configure tsconfig.json strict mode and path aliases","DevOps Engineer","P0","30 minutes","READY","SUB-0103010101","import from '@/lib/...' resolves correctly","Sprint 1","DevOps Reviewer|Security Reviewer","PENDING","","Enable all strict TypeScript checks and set up @/ path alias for clean imports."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0103","Next.js 15 Project Scaffolding & Vercel Deployment Pipeline","STORY-010301","As a developer, I need a CI/CD pipeline from GitHub to Vercel with automatic preview deployments.","TASK-01030101","Initialize Next.js 15 App Router Project","SUB-0103010103","Create .env.local.example with all required env var placeholders","DevOps Engineer","P0","30 minutes","READY","","File exists in repo, .env.local is in .gitignore","Sprint 1","DevOps Reviewer|Security Reviewer","PENDING","","Document every env var needed: NEXT_PUBLIC_SUPABASE_URL, NEXT_PUBLIC_SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, UPSTASH_REDIS_REST_URL, SENTRY_DSN, etc."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0103","Next.js 15 Project Scaffolding & Vercel Deployment Pipeline","STORY-010301","As a developer, I need a CI/CD pipeline from GitHub to Vercel with automatic preview deployments.","TASK-01030102","Connect GitHub Repository to Vercel & Configure Environment Variables","SUB-0103010201","Link GitHub repo and configure branch deployment rules","DevOps Engineer","P0","30 minutes","READY","TASK-01030101","Vercel dashboard shows linked repo with correct branch settings","Sprint 1","DevOps Reviewer|Security Reviewer","PENDING","","Import repo into Vercel, set main as production branch and enable preview for all PRs."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0103","Next.js 15 Project Scaffolding & Vercel Deployment Pipeline","STORY-010301","As a developer, I need a CI/CD pipeline from GitHub to Vercel with automatic preview deployments.","TASK-01030102","Connect GitHub Repository to Vercel & Configure Environment Variables","SUB-0103010202","Set all environment variables in Vercel Dashboard","DevOps Engineer","P0","30 minutes","READY","SUB-0103010201","Deployed app can connect to Supabase and Redis without errors","Sprint 1","DevOps Reviewer|Security Reviewer","PENDING","","Populate Supabase URL/keys, Upstash Redis credentials, Sentry DSN, GA4 ID, and PostHog key for production and preview environments."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0103","Next.js 15 Project Scaffolding & Vercel Deployment Pipeline","STORY-010301","As a developer, I need a CI/CD pipeline from GitHub to Vercel with automatic preview deployments.","TASK-01030103","Configure OWASP Security Headers in next.config.js","SUB-0103010301","Add security headers to next.config.js headers() function","DevOps Engineer","P0","1.5 hours","READY","TASK-01030101","curl -I shows all security headers present","Sprint 1","DevOps Reviewer|Security Reviewer","PENDING","","Configure all OWASP-recommended response headers for production hardening."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0104","Upstash Redis Cache & Rate Limiter Setup","STORY-010401","As a platform operator, I need Redis-backed rate limiting on public API endpoints to prevent abuse.","TASK-01040101","Provision Upstash Redis Instance & Store Credentials","SUB-0104010101","Create Upstash Redis instance and store credentials","DevOps Engineer","P1","30 minutes","READY","","Environment variables set in .env.local and Vercel","Sprint 1","DevOps Reviewer|Security Reviewer","PENDING","","Provision global Redis instance on Upstash console and add REST URL/token to environment variables."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0104","Upstash Redis Cache & Rate Limiter Setup","STORY-010401","As a platform operator, I need Redis-backed rate limiting on public API endpoints to prevent abuse.","TASK-01040102","Implement Sliding Window Rate Limiter Using @upstash/ratelimit","SUB-0104010201","Create lib/rate-limit.ts with @upstash/ratelimit","Backend Engineer","P1","1.5 hours","READY","TASK-01040101","Function returns { success: boolean, limit, remaining, reset }","Sprint 1","Performance Reviewer|Security Reviewer","PENDING","","Sliding window rate limiter: 60 requests per 60-second window, keyed by client IP."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0104","Upstash Redis Cache & Rate Limiter Setup","STORY-010401","As a platform operator, I need Redis-backed rate limiting on public API endpoints to prevent abuse.","TASK-01040102","Implement Sliding Window Rate Limiter Using @upstash/ratelimit","SUB-0104010202","Apply rate limiter to /api/v1/search and /api/v1/notifications","Backend Engineer","P1","1 hour","READY","SUB-0104010201","Rapid requests to /api/v1/search receive 429 after limit exceeded","Sprint 1","Performance Reviewer|Security Reviewer","PENDING","","Wrap public API route handlers with rate limit check; return 429 on excess."
"EPIC-02","Candidate Portal: Notification Feed, Detail Pages & Search","FEAT-0201","Global Application Shell & Design System","STORY-020101","As a candidate, I want a consistent, modern app shell so I can navigate the portal intuitively on any device.","TASK-02010101","Create Global Design System (globals.css) with Color Palette, Typography & Spacing Tokens","SUB-0201010101","Define color palette CSS variables for light and dark modes","UI/UX Designer","P0","1.5 hours","READY","","Colors defined, contrast ratios >= 4.5:1 for text","Sprint 1","Design Reviewer","PENDING","","HSL-based harmonious palette with semantic naming. Dark mode variants for all base colors."
"EPIC-02","Candidate Portal: Notification Feed, Detail Pages & Search","FEAT-0201","Global Application Shell & Design System","STORY-020101","As a candidate, I want a consistent, modern app shell so I can navigate the portal intuitively on any device.","TASK-02010101","Create Global Design System (globals.css) with Color Palette, Typography & Spacing Tokens","SUB-0201010102","Define typography scale and font loading via next/font/google","UI/UX Designer","P0","1 hour","READY","","Fonts loaded without FOUT; fallback system fonts specified","Sprint 1","Design Reviewer","PENDING","","Import Inter (body) and Outfit (headings) with proper weights and display swap."
"EPIC-02","Candidate Portal: Notification Feed, Detail Pages & Search","FEAT-0201","Global Application Shell & Design System","STORY-020101","As a candidate, I want a consistent, modern app shell so I can navigate the portal intuitively on any device.","TASK-02010101","Create Global Design System (globals.css) with Color Palette, Typography & Spacing Tokens","SUB-0201010103","Define spacing, border-radius, and shadow tokens","UI/UX Designer","P1","30 minutes","READY","","All tokens defined and documented in globals.css","Sprint 1","Design Reviewer","PENDING","","Spacing scale (4px base), border radius scale, and 3-level shadow hierarchy."
"EPIC-02","Candidate Portal: Notification Feed, Detail Pages & Search","FEAT-0201","Global Application Shell & Design System","STORY-020101","As a candidate, I want a consistent, modern app shell so I can navigate the portal intuitively on any device.","TASK-02010102","Build Root Layout (app/layout.tsx) with Header & Footer Components","SUB-0201010201","Create Header component with logo, nav links, and search trigger","Frontend Engineer","P0","2 hours","READY","TASK-02010101","Header renders correctly on mobile and desktop viewports","Sprint 1","Code Reviewer","PENDING","","Responsive header: desktop shows full nav, mobile shows hamburger toggle. All elements have unique ids."
"EPIC-02","Candidate Portal: Notification Feed, Detail Pages & Search","FEAT-0201","Global Application Shell & Design System","STORY-020101","As a candidate, I want a consistent, modern app shell so I can navigate the portal intuitively on any device.","TASK-02010102","Build Root Layout (app/layout.tsx) with Header & Footer Components","SUB-0201010202","Create Footer component with legal links","Frontend Engineer","P1","1 hour","READY","TASK-02010101","Footer renders on all pages with consistent styling","Sprint 1","Code Reviewer","PENDING","","Footer with About UPA-GURU, Privacy Policy, Terms of Service, Contact links."
"EPIC-02","Candidate Portal: Notification Feed, Detail Pages & Search","FEAT-0201","Global Application Shell & Design System","STORY-020101","As a candidate, I want a consistent, modern app shell so I can navigate the portal intuitively on any device.","TASK-02010102","Build Root Layout (app/layout.tsx) with Header & Footer Components","SUB-0201010203","Create Mobile Navigation Menu (slide-out/overlay)","Frontend Engineer","P0","1.5 hours","READY","SUB-0201010201","Menu opens/closes with animation; body scroll locked when open","Sprint 1","Code Reviewer","PENDING","","Animated slide-out menu for mobile viewports with smooth open/close transitions."
"EPIC-02","Candidate Portal: Notification Feed, Detail Pages & Search","FEAT-0202","Homepage Notification Feed with Filters & Pagination","STORY-020201","As a candidate, I want to browse exam notifications with filters so I can find relevant exams quickly.","TASK-02020101","Create Supabase Data Access Function: getPublishedNotifications()","SUB-0202010101","Define TypeScript interfaces for notification list/detail types","Frontend Engineer","P0","1 hour","READY","FEAT-0102","Types match schema-v1.sql columns exactly","Sprint 3","Code Reviewer","PENDING","","Create types/notifications.ts with NotificationListItem and NotificationDetail interfaces matching schema."
"EPIC-02","Candidate Portal: Notification Feed, Detail Pages & Search","FEAT-0202","Homepage Notification Feed with Filters & Pagination","STORY-020201","As a candidate, I want to browse exam notifications with filters so I can find relevant exams quickly.","TASK-02020101","Create Supabase Data Access Function: getPublishedNotifications()","SUB-0202010102","Implement getPublishedNotifications() with Supabase query builder","Frontend Engineer","P0","2 hours","READY","SUB-0202010101","Function returns correct results with all filter combinations","Sprint 3","Code Reviewer","PENDING","","Query notifications table with status='published' filter, optional .eq/.textSearch chains, .order, .range for pagination."
"EPIC-02","Candidate Portal: Notification Feed, Detail Pages & Search","FEAT-0202","Homepage Notification Feed with Filters & Pagination","STORY-020201","As a candidate, I want to browse exam notifications with filters so I can find relevant exams quickly.","TASK-02020102","Build NotificationCard Server Component","SUB-0202010201","Create NotificationCard.tsx with deadline countdown logic","Frontend Engineer","P0","2 hours","READY","","Card renders correctly with all states: normal, urgent, expired","Sprint 3","Code Reviewer","PENDING","","Server component with days-remaining calculation, conditional urgency styling, and responsive grid-friendly layout."
"EPIC-02","Candidate Portal: Notification Feed, Detail Pages & Search","FEAT-0202","Homepage Notification Feed with Filters & Pagination","STORY-020201","As a candidate, I want to browse exam notifications with filters so I can find relevant exams quickly.","TASK-02020102","Build NotificationCard Server Component","SUB-0202010202","Create SkeletonCard loading placeholder","Frontend Engineer","P1","45 minutes","READY","SUB-0202010201","Skeleton matches card dimensions to prevent layout shift (CLS)","Sprint 3","Code Reviewer","PENDING","","Shimmer skeleton matching NotificationCard dimensions for Suspense fallback."
